gasoline_price,diesel_price,e_price,h_price,public_transportation,ev,fossil_fuel
3.767175,3.0712625,0.2456875,799.2317875,0.152,0.2584,0.43928
4.091984615384615,3.0833461538461537,0.2264538461538461,457.7810692307692,0.14,0.234,0.3978
4.264007692307692,3.1660769230769232,0.2315230769230769,461.22501538461535,0.145,0.2445,0.41565
4.0083625,3.13619375,0.24063125,782.43743125,0.153,0.2601,0.44217
4.4360307692307686,3.2488076923076923,0.2365923076923076,464.66896153846153,0.15,0.255,0.4335
4.24955,3.201125,0.235575,765.643075,0.154,0.2618,0.44506
4.4907375,3.26605625,0.23051875,748.84871875,0.155,0.2635,0.44795
4.731925,3.3309875,0.2254625,732.0543625,0.156,0.2652,0.45084
4.9731125,3.39591875,0.22040625,715.26000625,0.157,0.2669,0.45373
3.5259875,3.00633125,0.25074375,816.02614375,0.151,0.2567,0.43639
3.7479384615384617,2.9178846153846156,0.2163153846153846,450.8931769230769,0.13,0.213,0.3621
3.9199615384615374,3.0006153846153847,0.2213846153846153,454.3371230769231,0.135,0.2235,0.37995
1.6416125,1.4502625,0.07065625,100.215675,0.07,0.105,0.1785
1.6587,1.4667,0.06975,89.0806,0.08,0.12,0.204
1.8762814,1.88966363,0.0,0.0,0.0,0.0,0.0
2.977284983,2.617431232,0.105427937,0.000111431,0.0,0.0,0.0
5.720477464,5.030660186,0.220740296,0.000334293,0.0,0.0,0.0
9.835266186,8.650503617,0.393708835,0.000668586,0.0,0.0,0.0
15.32165115,13.47696153,0.624333553,0.00111431,0.0,0.0,0.0
1.5893,1.3997,0.085,0.001671465,0.0,0.0,0.0
1.5390875,1.3516375,0.07609375,167.026125,0.01,0.015,0.0255
2.887823076923077,2.5042307692307686,0.1909692307692307,433.67344615384616,0.105,0.1605,0.27285
1.6757875,1.4831375,0.06884375,77.945525,0.09,0.135,0.2295
1.556175,1.368075,0.0751875,155.89105,0.02,0.03,0.051
3.0598461538461534,2.5869615384615385,0.1960384615384615,437.11739230769234,0.11,0.171,0.2907
1.5732625,1.3845125,0.07428125,144.755975,0.03,0.045,0.0765
1.692875,1.499575,0.0679375,66.81045,0.1,0.15,0.255
3.231869230769231,2.669692307692308,0.2011076923076923,440.56133846153847,0.115,0.1815,0.30855
1.59035,1.40095,0.073375,133.6209,0.04,0.06,0.102
3.403892307692308,2.7524230769230766,0.206176923076923,444.00528461538465,0.12,0.192,0.3264
9.888865483,7.253284167,0.275450904,9.936292253,0.167178334,0.284203167,0.483145382
10.46343282,7.576853255,0.280700503,10.08372658,0.168229771,0.285990608,0.486184031
11.07138393,7.914856764,0.286050151,10.23334852,0.169287821,0.287789291,0.489241792
11.71465848,8.267938613,0.291501753,10.38519055,0.170352525,0.289599286,0.492318783
1.6074375,1.4173875,0.07246875,122.485825,0.05,0.075,0.1275
3.5759153846153846,2.835153846153846,0.2112461538461538,447.4492307692308,0.125,0.2025,0.34425
1.624525,1.433825,0.0715625,111.35075,0.06,0.09,0.153
5.4554875,3.52578125,0.21029375,681.67129375,0.159,0.2703,0.45951
5.696675,3.5907125,0.2052375,664.8769375,0.16,0.272,0.4624
5.9378625,3.65564375,0.20018125,648.08258125,0.161006289,0.273710692,0.465308176
6.17905,3.720575,0.195125,631.288225,0.162018907,0.275432143,0.468234643
6.4202375,3.78550625,0.19006875,614.49386875,0.163037894,0.27716442,0.471179515
6.661425,3.8504375,0.1850125,597.6995125,0.16406329,0.278907593,0.474142908
6.9026125,3.91536875,0.17995625,580.90515625,0.165095134,0.280661729,0.477124939
7.1438,3.9803,0.1749,564.1108,0.166133469,0.282426897,0.480125724
5.2143,3.46085,0.21535,698.46565,0.158,0.2686,0.45662
